Time,Open,High,Low,Close,Last Trade,Volume
2019-12-19,20.750000,21.200001,20.400000,20.900000,20.863211,3188820
2019-12-20,20.549999,20.950001,20.549999,20.900000,20.863211,3165120
2019-12-23,20.549999,21.000000,20.549999,20.900000,20.863211,2155060
2019-12-24,20.900000,21.200001,20.900000,21.200001,21.162683,497466
2019-12-27,21.200001,21.600000,21.200001,21.600000,21.561979,1758054
2019-12-30,22.000000,22.000000,21.500000,21.650000,21.611891,1082298
2019-12-31,21.650000,21.950001,21.549999,21.900000,21.861450,1518000
2020-01-02,21.900000,22.400000,21.900000,22.400000,22.360571,2271200
2020-01-03,22.450001,22.799999,22.000000,22.200001,22.160923,1232739
2020-01-06,22.100000,22.100000,21.400000,21.900000,21.861450,2047889
2020-01-07,21.549999,22.049999,21.500000,21.700001,21.661804,2756489
2020-01-08,21.500000,21.799999,21.200001,21.500000,21.462154,1659654
2020-01-09,21.700001,21.799999,21.200001,21.549999,21.512066,2375701
2020-01-10,21.350000,21.799999,21.250000,21.500000,21.462154,2645754
2020-01-13,21.500000,21.700001,21.299999,21.350000,21.312420,1979481
2020-01-14,21.700001,22.049999,21.450001,21.799999,21.761625,3058000
2020-01-15,22.000000,22.049999,21.450001,21.600000,21.561979,1039687
2020-01-16,21.549999,21.900000,21.000000,21.200001,21.162683,3027850
2020-01-17,21.200001,21.600000,21.000000,21.450001,21.412243,984351
2020-01-20,21.549999,21.799999,20.600000,20.700001,20.663563,2978000
2020-01-21,20.450001,20.450001,19.320000,19.799999,19.765146,4405000
2020-01-22,20.000000,20.000000,19.100000,19.620001,19.585464,5315619
2020-01-23,19.200001,19.299999,18.280001,18.500000,18.467436,6471161
2020-01-24,18.340000,18.540001,18.020000,18.540001,18.507366,6253322
2020-01-29,17.160000,17.740000,17.160000,17.580000,17.549055,11241400
2020-01-30,17.600000,17.620001,16.299999,16.639999,16.610708,9067020
2020-01-31,16.719999,17.320000,16.719999,16.940001,16.910181,4805539
2020-02-03,16.920000,17.139999,16.580000,17.100000,17.069901,7534306
2020-02-04,16.820000,17.139999,16.440001,17.120001,17.089865,9824137
2020-02-05,17.200001,17.780001,16.760000,16.940001,16.910181,4454341
2020-02-06,17.200001,17.940001,16.959999,17.860001,17.828562,5326333
2020-02-07,18.100000,18.100000,17.200001,17.420000,17.389338,3834693
