Date,Open,High,Low,Close,Adj Close,Volume
2015-11-30,22.750000,23.299999,22.750000,22.799999,21.701483,8260226
2015-12-01,23.100000,23.850000,23.049999,23.799999,22.653301,20296751
2015-12-02,23.850000,24.200001,23.500000,24.000000,22.843666,14657398
2015-12-03,23.799999,24.200001,23.700001,24.000000,22.843666,7901584
2015-12-04,23.700001,23.700001,23.350000,23.650000,22.510529,8633470
2015-12-07,23.500000,24.000000,23.500000,23.900000,22.748482,10197513
2015-12-08,23.500000,23.600000,22.650000,22.900000,21.796667,18859985
2015-12-09,23.000000,23.100000,22.500000,22.850000,21.749073,6791864
2015-12-10,22.850000,23.450001,22.650000,23.200001,22.082211,7551790
2015-12-11,23.400000,23.400000,22.750000,23.150000,22.034616,9693463
2015-12-14,22.799999,22.799999,22.299999,22.600000,21.511116,9477297
2015-12-15,22.299999,22.650000,22.200001,22.250000,21.177982,8529385
2015-12-16,22.600000,23.450001,22.299999,23.100000,21.987030,15890044
2015-12-17,23.299999,24.000000,23.200001,23.700001,22.558117,22262235
2015-12-18,23.100000,23.799999,23.100000,23.549999,22.415346,13085730
2015-12-21,23.600000,24.400000,23.250000,24.350000,23.176802,26606780
2015-12-22,24.200001,24.400000,23.850000,24.299999,23.129211,13733712
2015-12-23,24.450001,24.950001,24.450001,24.600000,23.414759,13892615
2015-12-24,24.950001,24.950001,24.500000,24.799999,23.605122,4451560
2015-12-28,24.799999,24.799999,24.299999,24.350000,23.176802,4704417
2015-12-29,24.450001,24.650000,24.049999,24.500000,23.319576,4988515
2015-12-30,24.750000,24.750000,24.250000,24.500000,23.319576,5070341
2015-12-31,24.500000,24.650000,24.299999,24.450001,23.271984,3035751
2016-01-04,24.799999,25.299999,23.700001,24.400000,23.224394,19535671
2016-01-05,24.799999,24.950001,24.000000,24.500000,23.319576,10907257
2016-01-06,24.900000,24.950001,23.850000,24.049999,22.891258,8421276
2016-01-07,23.600000,23.950001,22.350000,22.450001,21.368347,20127888
2016-01-08,22.500000,22.850000,21.900000,22.049999,20.987616,18569775
2016-01-11,21.250000,21.950001,21.100000,21.400000,20.368935,15675708
2016-01-12,22.049999,22.150000,21.600000,21.600000,20.559301,11352713
2016-01-13,22.100000,22.799999,21.549999,21.650000,20.606888,17235897
2016-01-14,21.350000,21.650000,20.600000,21.600000,20.559301,10530496
2016-01-15,21.500000,21.700001,21.049999,21.150000,20.130981,12604574
2016-01-18,21.799999,22.350000,21.350000,21.900000,20.844847,14601154
2016-01-19,21.799999,22.400000,21.250000,22.350000,21.273167,12303769
2016-01-20,21.900000,22.000000,20.500000,20.650000,19.655071,21797917
2016-01-21,20.799999,21.350000,19.920000,20.100000,19.131569,17206206
2016-01-22,20.600000,21.650000,20.450001,21.500000,20.464119,37600997
2016-01-25,21.750000,22.000000,21.549999,21.700001,20.654484,20153401
2016-01-26,21.350000,22.049999,21.100000,21.549999,20.511707,16468554
2016-01-27,22.100000,22.799999,22.000000,22.450001,21.368347,31125249
2016-01-28,23.500000,23.799999,23.200001,23.600000,22.462936,40563065
2016-01-29,24.000000,24.750000,23.900000,24.100000,22.938850,28301023
2016-02-01,24.350000,24.450001,23.500000,24.200001,23.034031,15629503
2016-02-02,24.200001,25.000000,23.600000,23.750000,22.605711,36216325
2016-02-03,22.900000,23.049999,21.950001,22.650000,21.558710,26755192
2016-02-04,23.000000,23.400000,22.950001,23.000000,21.891848,11166594
2016-02-05,23.400000,23.650000,23.100000,23.350000,22.224981,7226460
2016-02-11,22.950001,23.200001,22.049999,22.549999,21.463526,15871726
2016-02-12,22.350000,23.600000,22.350000,23.250000,22.129801,15524723
2016-02-15,24.049999,25.200001,24.049999,25.150000,23.938261,32601306
2016-02-16,25.200001,25.350000,24.549999,24.650000,23.462347,23164259
2016-02-17,24.900000,25.600000,24.799999,25.000000,23.795485,28679299
2016-02-18,25.549999,26.650000,25.549999,26.500000,25.223213,27912570
2016-02-19,26.100000,26.200001,25.650000,25.750000,24.509348,18196225
2016-02-22,25.850000,26.500000,25.850000,26.400000,25.128031,13668456
2016-02-23,26.549999,27.150000,26.250000,26.400000,25.128031,19763236
2016-02-24,26.200001,26.299999,25.400000,26.049999,24.794895,11662088
2016-02-25,26.299999,26.799999,24.799999,25.450001,24.223804,25079000
2016-02-26,26.000000,26.400000,25.850000,26.100000,24.842487,27729820
2016-02-29,26.850000,27.000000,26.000000,26.100000,24.842487,14962648
2016-03-01,26.299999,26.299999,24.850000,25.900000,24.652122,26913594
2016-03-02,26.500000,27.250000,26.450001,27.200001,25.889488,34662940
2016-03-03,27.350000,27.400000,26.600000,26.950001,25.651531,16320361
2016-03-04,26.900000,27.500000,26.900000,27.049999,25.746714,17326804
2016-03-07,27.250000,27.600000,26.600000,26.700001,25.413580,17743925
2016-03-08,26.200001,26.500000,25.650000,26.000000,24.747305,24312492
2016-03-09,25.900000,26.400000,25.700001,26.250000,24.985262,8276415
2016-03-10,26.400000,26.850000,26.200001,26.250000,24.985262,7043038
2016-03-11,26.600000,27.100000,26.100000,27.000000,25.699123,12077743
2016-03-14,27.299999,28.000000,26.700001,26.700001,25.413580,16536249
2016-03-15,26.900000,27.150000,26.600000,26.900000,25.603941,9652471
2016-03-16,26.900000,27.100000,26.500000,26.799999,25.508760,6483970
2016-03-17,27.200001,27.299999,26.900000,27.049999,25.746714,8129650
2016-03-18,27.500000,29.750000,27.200001,29.650000,28.221443,43000330
2016-03-21,30.000000,30.150000,28.799999,28.799999,27.412399,24248380
2016-03-22,28.750000,29.000000,28.400000,28.600000,27.222034,10363030
2016-03-23,28.350000,29.150000,28.299999,29.049999,27.650352,10723521
2016-03-24,28.600000,28.850000,28.150000,28.400000,27.031670,10644521
2016-03-29,28.450001,29.500000,28.150000,29.100000,27.697943,15699676
2016-03-30,29.200001,29.700001,28.950001,29.650000,28.221443,18054928
2016-03-31,29.650000,30.000000,29.000000,29.100000,27.697943,10950666
2016-04-01,29.150000,29.150000,27.700001,28.000000,26.650944,16933665
2016-04-05,27.400000,27.450001,26.650000,26.850000,25.556349,20266513
2016-04-06,26.700001,27.450001,26.700001,27.250000,25.937078,11425607
2016-04-07,27.350000,27.799999,27.100000,27.100000,25.794306,10328932
2016-04-08,26.850000,27.850000,26.700001,27.750000,26.412991,12262740
2016-04-11,27.600000,27.850000,27.250000,27.500000,26.175032,9960195
2016-04-12,27.600000,27.850000,27.450001,27.700001,26.365396,7131805
2016-04-13,28.049999,29.049999,27.950001,28.850000,27.459991,15560146
2016-04-14,29.400000,29.700001,28.799999,29.049999,27.650352,17363826
2016-04-15,29.000000,29.049999,28.500000,28.799999,27.412399,13929704
2016-04-18,28.150000,29.100000,28.150000,28.700001,27.317219,6829221
2016-04-19,29.500000,29.500000,28.900000,29.450001,28.031082,6212473
2016-04-20,29.299999,29.600000,28.799999,29.049999,27.650352,8499342
2016-04-21,29.200001,29.200001,27.850000,28.299999,26.936489,15663799
2016-04-22,27.799999,28.000000,27.000000,27.500000,26.175032,23796862
2016-04-25,27.600000,28.000000,27.100000,27.750000,26.412991,11362002
2016-04-26,27.700001,28.299999,27.549999,28.200001,26.841309,9937186
2016-04-27,27.950001,28.250000,27.450001,27.600000,26.270216,10552224
2016-04-28,27.750000,27.799999,26.650000,26.900000,25.603941,21371870
2016-04-29,26.600000,26.750000,26.100000,26.200001,24.937670,19908693
2016-05-03,26.850000,26.850000,25.799999,25.900000,24.652122,24080612
2016-05-04,25.799999,25.900000,25.450001,25.549999,24.318985,10464871
2016-05-05,25.500000,25.850000,25.299999,25.600000,24.366577,10107769
2016-05-06,25.400000,25.450001,24.350000,24.450001,23.271984,19134474
2016-05-09,24.600000,25.049999,24.600000,24.650000,23.462347,10551943
2016-05-10,24.299999,24.850000,24.150000,24.600000,23.414759,7528980
2016-05-11,25.000000,25.299999,24.750000,24.799999,23.605122,11286978
