Time,Last Trade,Predicted Last Trade
2020/11/17 10:22,61.5,
2020/11/17 10:23,61.5,
2020/11/17 10:24,61.6,
2020/11/17 10:25,61.6,
2020/11/17 10:26,61.65,
2020/11/17 10:27,61.65,61.52971251308918
2020/11/17 10:28,61.55,61.5342033624649
2020/11/17 10:29,61.6,61.53911700844765
2020/11/17 10:30,61.6,61.54425105154514
2020/11/17 10:31,61.7,61.5493862748146
2020/11/17 10:32,61.7,61.55424769818783
2020/11/17 10:33,61.65,61.55863616764545
2020/11/17 10:34,61.65,61.562411832809445
2020/11/17 10:35,61.7,61.56627778112888
2020/11/17 10:36,61.5,61.570909070968625
2020/11/17 10:37,61.55,61.57718109488487
2020/11/17 10:38,61.55,61.58543551266193
2020/11/17 10:39,61.5,61.595048603415485
2020/11/17 10:40,61.55,61.6053019374609
2020/11/17 10:41,61.6,61.61585975587368
2020/11/17 10:42,61.65,61.626589289307596
2020/11/17 10:43,61.5,61.63745159208774
2020/11/17 10:44,61.5,61.647924438118935
2020/11/17 10:45,61.6,61.65749002695083
2020/11/17 10:46,61.5,61.6661218047142
2020/11/17 10:47,61.6,61.67326479554176
2020/11/17 10:48,61.55,61.67857291400433
2020/11/17 10:49,61.45,61.68190483450889
2020/11/17 10:50,61.325,61.68322308659553
2020/11/17 10:51,61.275,61.68285782337188
2020/11/17 10:52,61.2,61.68144338726997
2020/11/17 10:53,61.1,61.679759576916695
2020/11/17 10:54,61.1,61.67753731310368
2020/11/17 10:55,61.15,61.67441428303719
2020/11/17 10:56,61.3,61.670435628294946
2020/11/17 10:57,61.3,61.66540071964264
2020/11/17 10:58,61.35,61.659844470024105
2020/11/17 10:59,61.35,61.6541392236948
2020/11/17 11:00,61.35,61.64822095632553
2020/11/17 11:01,61.35,61.64177131652832
2020/11/17 11:02,61.3,61.63452565073967
2020/11/17 11:03,61.3,61.62609597742557
2020/11/17 11:04,61.2,61.61619020402431
2020/11/17 11:05,61.2,61.60477853119373
2020/11/17 11:06,61.25,61.5920102506876
2020/11/17 11:07,61.35,61.578706762194635
2020/11/17 11:08,61.3,61.56519615352153
2020/11/17 11:09,61.3,61.551650729775425
2020/11/17 11:10,61.25,61.53821919262409
2020/11/17 11:11,61.3,61.52530693113804
2020/11/17 11:12,61.3,61.513469806313516
2020/11/17 11:13,61.2,61.502883958816525
2020/11/17 11:14,61.3,61.4933263361454
2020/11/17 11:15,61.25,61.48382742702961
2020/11/17 11:16,61.25,61.47354370355606
2020/11/17 11:17,61.2,61.46251971721649
2020/11/17 11:18,61.3,61.4517258644104
2020/11/17 11:19,61.2,61.44195433557034
2020/11/17 11:20,61.25,61.4336355984211
2020/11/17 11:21,61.25,61.42671861052513
2020/11/17 11:22,61.25,61.421217533946034
2020/11/17 11:23,61.25,61.41715449690819
2020/11/17 11:24,61.25,61.4140066832304
2020/11/17 11:25,61.25,61.411702102422716
2020/11/17 11:26,61.35,61.409909716248514
2020/11/17 11:27,61.35,61.40837106704712
2020/11/17 11:28,61.35,61.406645950675006
2020/11/17 11:29,61.35,61.404956239461896
2020/11/17 11:30,61.3,61.403161787986754
2020/11/17 11:31,61.35,61.40138975977897
2020/11/17 11:32,61.35,61.39971834123134
2020/11/17 11:33,61.35,61.398200049996376
2020/11/17 11:34,61.4,61.396805381774904
2020/11/17 11:35,61.45,61.395441102981565
2020/11/17 11:36,61.5,61.39411163926125
2020/11/17 11:37,61.5,61.393623343110086
2020/11/17 11:38,61.45,61.394701135158535
2020/11/17 11:39,61.45,61.39778728485107
2020/11/17 11:40,61.4,61.40286438465118
2020/11/17 11:41,61.4,61.40933792293072
2020/11/17 11:42,61.45,61.416738191246985
2020/11/17 11:43,61.45,61.42460049688816
2020/11/17 11:44,61.35,61.432454246282575
2020/11/17 11:45,61.45,61.44013274013996
2020/11/17 11:46,61.35,61.447877913713455
2020/11/17 11:47,61.45,61.456503200531
2020/11/17 11:48,61.45,61.46667008697987
2020/11/17 11:49,61.45,61.478270292282104
2020/11/17 11:50,61.45,61.49085476100445
2020/11/17 11:51,61.45,61.503374910354616
2020/11/17 11:52,61.35,61.51469777524471
2020/11/17 11:53,61.4,61.524241825938226
2020/11/17 11:54,61.3,61.53166717290878
2020/11/17 11:55,61.4,61.53660737276077
2020/11/17 11:56,61.4,61.5394362449646
2020/11/17 11:57,61.35,61.540262365341185
2020/11/17 11:58,61.4,61.539613565802576
2020/11/17 11:59,61.45,61.538122713565826
2020/11/17 12:00,61.45,61.536351865530015
2020/11/17 12:01,61.45,61.534713786840435
2020/11/17 12:02,61.45,61.53347401618957
2020/11/17 12:03,61.45,61.53235137760639
2020/11/17 12:04,61.45,61.53118064701557
2020/11/17 12:05,61.45,61.52952162027359
2020/11/17 12:06,61.45,61.52748110294342
2020/11/17 12:07,61.45,61.52524231672287
2020/11/17 12:08,61.45,61.522774872183795
2020/11/17 12:09,61.45,61.52023307681083
2020/11/17 12:10,61.45,61.51807070672512
2020/11/17 12:11,61.45,61.51666423678398
2020/11/17 12:12,61.45,61.5162296384573
2020/11/17 12:13,61.45,61.51682326495647
2020/11/17 12:14,61.45,61.518401744961736
2020/11/17 12:15,61.45,61.52053608596325
2020/11/17 12:16,61.45,61.52287548184395
2020/11/17 12:17,61.45,61.52516147494316
2020/11/17 12:18,61.45,61.52694264948368
2020/11/17 12:19,61.45,61.527749297022815
2020/11/17 12:20,61.45,61.52745130360126
2020/11/17 12:21,61.45,61.526176717877384
2020/11/17 12:22,61.45,61.52419963479042
2020/11/17 12:23,61.45,61.52184401154518
